Designator,Mid X,Mid Y,Rotation,Layer
D1,95.98,-56.8,90.0,bottom
D10,214.09,-56.8,90.0,bottom
D11,104.87,-66.96,90.0,bottom
D12,115.03,-77.12,90.0,bottom
D14,145.51,-69.5,90.0,bottom
D15,158.21,-69.5,90.0,bottom
D16,170.91,-69.755,90.0,bottom
D17,183.61,-69.5,90.0,bottom
D18,196.31,-69.5,90.0,bottom
D19,209.01,-69.5,90.0,bottom
D2,115.03,-56.8,90.0,bottom
D21,99.79,-92.36,90.0,bottom
D22,112.49,-92.615,90.0,bottom
D23,125.19,-92.36,90.0,bottom
D24,137.89,-92.36,90.0,bottom
D25,150.59,-92.36,90.0,bottom
D26,163.29,-92.36,90.0,bottom
D27,175.99,-92.36,90.0,bottom
D28,188.69,-92.36,90.0,bottom
D29,201.39,-92.36,90.0,bottom
D3,125.19,-66.96,90.0,bottom
D30,214.09,-92.36,90.0,bottom
D32,104.87,-105.06,90.0,bottom
D33,117.57,-105.06,90.0,bottom
D34,130.27,-105.06,90.0,bottom
D35,142.97,-105.06,90.0,bottom
D36,155.67,-105.06,90.0,bottom
D37,168.37,-105.06,90.0,bottom
D38,181.07,-105.06,90.0,bottom
D39,193.77,-105.06,90.0,bottom
D4,137.89,-56.8,90.0,bottom
D40,206.47,-105.06,90.0,bottom
D41,99.79,-117.76,90.0,bottom
D42,112.49,-117.76,90.0,bottom
D43,125.19,-117.76,90.0,bottom
D44,137.89,-117.76,90.0,bottom
D45,150.59,-117.76,90.0,bottom
D46,163.29,-117.76,90.0,bottom
D47,175.99,-117.76,90.0,bottom
D48,188.69,-117.76,90.0,bottom
D49,201.39,-117.76,90.0,bottom
D5,150.59,-56.8,90.0,bottom
D50,214.09,-117.38,90.0,bottom
D51,104.87,-130.46,90.0,bottom
D52,117.57,-130.46,90.0,bottom
D53,130.27,-130.46,90.0,bottom
D54,148.05,-130.46,90.0,bottom
D55,165.83,-130.46,90.0,bottom
D57,181.07,-130.46,90.0,bottom
D58,193.77,-130.46,90.0,bottom
D59,206.47,-130.84,90.0,bottom
D6,163.29,-56.8,90.0,bottom
D7,175.99,-56.8,90.0,bottom
D8,188.69,-56.8,90.0,bottom
D9,201.39,-56.8,90.0,bottom
S1,95.92,-56.68,270.0,top
S10,214.09,-56.8,270.0,top
S11,104.87,-66.96,270.0,top
S12,115.03,-77.12,270.0,top
S14,145.51,-69.5,270.0,top
S15,158.21,-69.38,270.0,top
S16,170.91,-69.5,270.0,top
S17,183.61,-69.5,270.0,top
S18,196.31,-69.5,270.0,top
S19,209.01,-69.5,270.0,top
S2,115.03,-56.8,270.0,top
S21,99.79,-92.36,270.0,top
S22,112.49,-92.36,270.0,top
S23,125.19,-92.36,270.0,top
S24,137.89,-92.36,270.0,top
S25,150.59,-92.36,270.0,top
S26,163.29,-92.36,270.0,top
S27,175.99,-92.36,270.0,top
S28,188.69,-92.36,270.0,top
S29,201.39,-92.36,270.0,top
S3,125.19,-66.96,270.0,top
S30,214.09,-92.36,270.0,top
S32,104.87,-105.06,270.0,top
S33,117.57,-105.06,270.0,top
S34,130.27,-105.06,270.0,top
S35,142.97,-105.06,270.0,top
S36,155.67,-105.06,270.0,top
S37,168.37,-105.06,270.0,top
S38,181.07,-105.06,270.0,top
S39,193.77,-105.06,270.0,top
S4,137.89,-56.8,270.0,top
S40,206.47,-105.06,270.0,top
S41,99.79,-117.76,270.0,top
S42,112.49,-117.76,270.0,top
S43,125.19,-117.76,270.0,top
S44,137.89,-117.76,270.0,top
S45,150.59,-117.76,270.0,top
S46,163.29,-117.76,270.0,top
S47,175.99,-117.76,270.0,top
S48,188.69,-117.76,270.0,top
S49,201.39,-117.76,270.0,top
S5,150.59,-56.8,270.0,top
S50,214.09,-117.76,270.0,top
S51,104.87,-130.46,270.0,top
S52,117.57,-130.46,270.0,top
S53,130.27,-130.46,270.0,top
S54,148.05,-130.46,270.0,top
S55,165.83,-130.46,270.0,top
S57,181.07,-130.46,270.0,top
S58,193.77,-130.46,270.0,top
S59,206.47,-130.46,270.0,top
S6,163.29,-56.8,270.0,top
S7,175.99,-56.8,270.0,top
S8,188.69,-56.8,270.0,top
S9,201.39,-56.8,270.0,top
